name,username,total_projects,funded_projects,completed_projects,total_distributed_usd,total_requested_usd,total_remaining_usd,distributed_ada_from_json,catalyst_url
shapiro21,shapiro21,2,0,0,0.0,1360000170.0,0.0,0.0,https://projectcatalyst.io/proposers/shapiro21
James Dunseith,workshopmaybe,39,14,13,759090.0,308697618.0,96508.0,702000.0,https://projectcatalyst.io/proposers/workshopmaybe
steven.j.moody,koala.steve,3,0,0,0.0,41680003.0,0.0,0.0,https://projectcatalyst.io/proposers/koala.steve
PACE,pace,23,4,4,90858.33,16311150.0,10091.67,0.0,https://projectcatalyst.io/proposers/pace
Felix Weber [SWARM],felixweber,83,27,26,1050830.0,10566166.0,23078.0,287810.0,https://projectcatalyst.io/proposers/felixweber
newmindflow,newmindflow,36,4,4,228324.0,9106734.0,0.0,199686.0,https://projectcatalyst.io/proposers/newmindflow
Patrick Tobler,padierfind,32,12,8,3324689.0,8802500.0,1640929.0,4850000.0,https://projectcatalyst.io/proposers/padierfind
heinz.gassner,heinz.gassner,68,22,22,418610.0,8426422.0,0.0,200000.0,https://projectcatalyst.io/proposers/heinz.gassner
Nori Nishigaya,xeeban,59,16,16,341669.5,8278936.0,1662.5,100000.0,https://projectcatalyst.io/proposers/xeeban
Wada,wada,126,44,44,1143225.0,7298292.0,6250.0,195000.0,https://projectcatalyst.io/proposers/wada
MLabs,lpmaho,56,44,42,5000176.0,6584069.0,164289.0,8934942.0,https://projectcatalyst.io/proposers/lpmaho
Victor Corcino,victorcorcino,108,46,46,676886.42,6511388.0,28107.58,0.0,https://projectcatalyst.io/proposers/victorcorcino
Raz,raz,110,32,29,1351101.0,6484998.0,51455.0,1429000.0,https://projectcatalyst.io/proposers/raz
Proof of Africa,proofofafrica,15,3,3,58495.0,6475790.0,0.0,0.0,https://projectcatalyst.io/proposers/proofofafrica
dcSpark,dcspark,71,60,50,3250253.67,6216144.0,994132.33,2978725.0,https://projectcatalyst.io/proposers/dcspark
Forgotten Member,,77,7,6,326860.0,6071372.0,62940.0,0.0,https://projectcatalyst.io/proposers/
Konma Org,konmaorg,60,3,2,146085.0,6052027.0,30395.0,150000.0,https://projectcatalyst.io/proposers/konmaorg
Alejandro Boscoboinik,amboscoboinik,1,0,0,0.0,5860099.0,0.0,0.0,https://projectcatalyst.io/proposers/amboscoboinik
Seomon,seomon,34,11,11,493271.0,5722346.0,0.0,183000.0,https://projectcatalyst.io/proposers/seomon
Headelf,headelf,14,1,1,25000.0,5631750.0,0.0,0.0,https://projectcatalyst.io/proposers/headelf
