id,name,username,catalyst_url,total_projects,funded_projects,completed_projects,total_distributed_usd,total_remaining_usd,total_requested_usd
40489,MLabs,lpmaho,https://projectcatalyst.io/proposers/lpmaho,56,44,42,5000176.0,164289.0,6584069.0
26199,Patrick Tobler,padierfind,https://projectcatalyst.io/proposers/padierfind,32,12,8,3324689.0,1640929.0,8802500.0
53330,dcSpark,dcspark,https://projectcatalyst.io/proposers/dcspark,71,60,50,3250253.67,994132.33,6216144.0
40856,nicoarqueros,nicoarqueros,https://projectcatalyst.io/proposers/nicoarqueros,65,57,47,3058805.67,994132.33,5055756.0
58571,Santiago Carmuega,santi,https://projectcatalyst.io/proposers/santi,30,24,21,2466018.0,92154.0,3279470.0
76886,Federico Weill,federicoweill,https://projectcatalyst.io/proposers/federicoweill,24,22,19,2345698.0,92154.0,2752306.0
80682,Shay Gamer,gammer13,https://projectcatalyst.io/proposers/gammer13,15,6,3,2294924.0,1910080.0,5169357.0
23522,Sebastien Guillemot,sebastiengllmt,https://projectcatalyst.io/proposers/sebastiengllmt,35,31,21,2021622.0,913299.0,3331500.0
59885,kristian.portz,kristian.portz,https://projectcatalyst.io/proposers/kristian.portz,3,2,2,1993100.0,0.0,2150450.0
77435,Catalyst Team,catalystteam,https://projectcatalyst.io/proposers/catalystteam,5,5,3,1982172.0,150276.0,2132448.0
76754,Anastasia Labs,anastasia.labs,https://projectcatalyst.io/proposers/anastasia.labs,14,13,6,1924515.0,1172810.0,3340485.0
104141,Sebastian Küpers,s.kuepers,https://projectcatalyst.io/proposers/s.kuepers,1,1,1,1888200.0,0.0,1888200.0
76367,Mesh JS SDK,meshsdk,https://projectcatalyst.io/proposers/meshsdk,15,13,12,1810573.0,78675.0,2083363.0
68846,Ethan | Optim,pipaw,https://projectcatalyst.io/proposers/pipaw,19,8,1,1794461.0,628430.0,4898557.0
23055,yutazzz,yutazzz,https://projectcatalyst.io/proposers/yutazzz,40,34,32,1770409.0,374331.0,2594739.0
96005,Chris Joannou,chrisjoannou,https://projectcatalyst.io/proposers/chrisjoannou,1,1,1,1724556.0,0.0,1724556.0
96672,Yaad Labs,yaadlabs,https://projectcatalyst.io/proposers/yaadlabs,5,1,1,1724556.0,0.0,2186116.0
53458,Vladimir Sinyakov,vlasin,https://projectcatalyst.io/proposers/vlasin,15,10,7,1688502.0,170078.0,3201700.0
62114,maksymilian brodowicz,zygomeb,https://projectcatalyst.io/proposers/zygomeb,11,7,1,1616131.0,596960.0,3242655.0
