name,username,total_projects,funded_projects,completed_projects,total_distributed_usd,total_requested_usd,total_remaining_usd,distributed_ada_from_json,catalyst_url
MLabs,lpmaho,56,44,42,5000176.0,6584069.0,164289.0,8934942.0,https://projectcatalyst.io/proposers/lpmaho
Catalyst Team,catalystteam,5,5,3,1982172.0,2132448.0,150276.0,5866878.78,https://projectcatalyst.io/proposers/catalystteam
Patrick Tobler,padierfind,32,12,8,3324689.0,8802500.0,1640929.0,4850000.0,https://projectcatalyst.io/proposers/padierfind
Federico Weill,federicoweill,24,22,19,2345698.0,2752306.0,92154.0,4322184.8,https://projectcatalyst.io/proposers/federicoweill
Santiago Carmuega,santi,30,24,21,2466018.0,3279470.0,92154.0,4322184.8,https://projectcatalyst.io/proposers/santi
Shay Gamer,gammer13,15,6,3,2294924.0,5169357.0,1910080.0,3088714.28,https://projectcatalyst.io/proposers/gammer13
Anastasia Labs,anastasia.labs,14,13,6,1924515.0,3340485.0,1172810.0,3073880.28,https://projectcatalyst.io/proposers/anastasia.labs
dcSpark,dcspark,71,60,50,3250253.67,6216144.0,994132.33,2978725.0,https://projectcatalyst.io/proposers/dcspark
Sebastien Guillemot,sebastiengllmt,35,31,21,2021622.0,3331500.0,913299.0,2978725.0,https://projectcatalyst.io/proposers/sebastiengllmt
Vladimir Sinyakov,vlasin,15,10,7,1688502.0,3201700.0,170078.0,2785000.0,https://projectcatalyst.io/proposers/vlasin
Dan Gonzalez,sundae.dan,15,13,9,958140.0,1900073.0,312533.0,2778400.0,https://projectcatalyst.io/proposers/sundae.dan
quantumplation,quantumplation,15,13,9,958140.0,1900073.0,312533.0,2778400.0,https://projectcatalyst.io/proposers/quantumplation
philipdisarro,philipdisarro,17,15,10,977553.0,1405043.0,256900.0,2753518.5,https://projectcatalyst.io/proposers/philipdisarro
nicoarqueros,nicoarqueros,65,57,47,3058805.67,5055756.0,994132.33,2711701.0,https://projectcatalyst.io/proposers/nicoarqueros
Matteo Coppola,fluidtokens,14,10,2,1579130.0,3247054.0,647470.0,2609006.7,https://projectcatalyst.io/proposers/fluidtokens
Atrium Lab Inc.,bigpey,27,15,14,1607172.0,3302239.0,50352.0,2586259.0,https://projectcatalyst.io/proposers/bigpey
zenGate Global,zengate,7,6,4,991491.0,2288039.0,37748.0,2568000.0,https://projectcatalyst.io/proposers/zengate
yutazzz,yutazzz,40,34,32,1770409.0,2594739.0,374331.0,2472286.8,https://projectcatalyst.io/proposers/yutazzz
YURI KURIYAMA,yuri,12,12,7,1278294.0,1757403.0,479109.0,2451008.8,https://projectcatalyst.io/proposers/yuri
Mesh JS SDK,meshsdk,15,13,12,1810573.0,2083363.0,78675.0,2442945.0,https://projectcatalyst.io/proposers/meshsdk
Ethan | Optim,pipaw,19,8,1,1794461.0,4898557.0,628430.0,2332000.0,https://projectcatalyst.io/proposers/pipaw
Artem Wright,artemwright,7,7,7,548878.0,566917.0,18039.0,2239400.0,https://projectcatalyst.io/proposers/artemwright
maksymilian brodowicz,zygomeb,11,7,1,1616131.0,3242655.0,596960.0,2162000.0,https://projectcatalyst.io/proposers/zygomeb
projekt creative,projektcreative,16,9,9,938105.0,1405020.0,0.0,1915259.0,https://projectcatalyst.io/proposers/projektcreative
damon,djzwar,15,9,9,1253172.0,4398720.0,0.0,1911845.0,https://projectcatalyst.io/proposers/djzwar
kristian.portz,kristian.portz,3,2,2,1993100.0,2150450.0,0.0,1900000.0,https://projectcatalyst.io/proposers/kristian.portz
rand McHenry,randcorp,16,8,8,1073851.0,3376669.0,0.0,1895000.0,https://projectcatalyst.io/proposers/randcorp
Wes Parkinson,rareevo,16,8,8,1073851.0,3376669.0,0.0,1895000.0,https://projectcatalyst.io/proposers/rareevo
SIDAN Lab,sidanlab,16,12,12,1152511.0,1834361.0,0.0,1894232.0,https://projectcatalyst.io/proposers/sidanlab
Minswap Labs,minswapdex,11,8,5,1035613.0,1927168.0,212065.0,1890400.0,https://projectcatalyst.io/proposers/minswapdex
Jonathan Rodriguez,jona.ca.eng,13,12,4,972706.0,1791870.0,609364.0,1867852.5,https://projectcatalyst.io/proposers/jona.ca.eng
Robert Hever,robertc3,16,10,10,1454352.0,4543444.0,0.0,1811845.0,https://projectcatalyst.io/proposers/robertc3
Catalyst Rider,catalystrider,20,8,8,1126863.0,3241701.0,0.0,1801900.0,https://projectcatalyst.io/proposers/catalystrider
Sebastian Küpers,s.kuepers,1,1,1,1888200.0,1888200.0,0.0,1800000.0,https://projectcatalyst.io/proposers/s.kuepers
Mr. Goose,mr.goose,9,7,6,1114216.0,1911738.0,63222.0,1766000.0,https://projectcatalyst.io/proposers/mr.goose
Mladen Lamesevic,mladenlm,9,9,5,732050.0,982701.0,250651.0,1751874.0,https://projectcatalyst.io/proposers/mladenlm
Seira Yun Socious.io,seirayun,16,12,12,1028677.0,1391538.0,0.0,1726209.0,https://projectcatalyst.io/proposers/seirayun
Rosen Bridge,rosenbridge,5,3,2,669758.0,1745050.0,26292.0,1690000.0,https://projectcatalyst.io/proposers/rosenbridge
Raul,elraulito,18,8,4,896571.0,2356863.0,240671.0,1670306.7,https://projectcatalyst.io/proposers/elraulito
$conrad,blade,8,6,5,1053426.0,1850948.0,63222.0,1666000.0,https://projectcatalyst.io/proposers/blade
BigIrishLion,bigirishlion,6,6,5,1053426.0,1116648.0,63222.0,1666000.0,https://projectcatalyst.io/proposers/bigirishlion
Papa Goose,papagoose,6,6,5,1053426.0,1116648.0,63222.0,1666000.0,https://projectcatalyst.io/proposers/papagoose
