name,username,total_projects,funded_projects,completed_projects,total_distributed_usd,total_requested_usd,total_remaining_usd,distributed_ada_from_json,catalyst_url
MLabs,lpmaho,56,44,42,5000176.0,6584069.0,164289.0,8934942.0,https://projectcatalyst.io/proposers/lpmaho
Patrick Tobler,padierfind,32,12,8,3324689.0,8802500.0,1640929.0,4850000.0,https://projectcatalyst.io/proposers/padierfind
dcSpark,dcspark,71,60,50,3250253.67,6216144.0,994132.33,2978725.0,https://projectcatalyst.io/proposers/dcspark
nicoarqueros,nicoarqueros,65,57,47,3058805.67,5055756.0,994132.33,2711701.0,https://projectcatalyst.io/proposers/nicoarqueros
Santiago Carmuega,santi,30,24,21,2466018.0,3279470.0,92154.0,4322184.8,https://projectcatalyst.io/proposers/santi
Federico Weill,federicoweill,24,22,19,2345698.0,2752306.0,92154.0,4322184.8,https://projectcatalyst.io/proposers/federicoweill
Shay Gamer,gammer13,15,6,3,2294924.0,5169357.0,1910080.0,3088714.28,https://projectcatalyst.io/proposers/gammer13
Sebastien Guillemot,sebastiengllmt,35,31,21,2021622.0,3331500.0,913299.0,2978725.0,https://projectcatalyst.io/proposers/sebastiengllmt
kristian.portz,kristian.portz,3,2,2,1993100.0,2150450.0,0.0,1900000.0,https://projectcatalyst.io/proposers/kristian.portz
Catalyst Team,catalystteam,5,5,3,1982172.0,2132448.0,150276.0,5866878.78,https://projectcatalyst.io/proposers/catalystteam
Anastasia Labs,anastasia.labs,14,13,6,1924515.0,3340485.0,1172810.0,3073880.28,https://projectcatalyst.io/proposers/anastasia.labs
Sebastian Küpers,s.kuepers,1,1,1,1888200.0,1888200.0,0.0,1800000.0,https://projectcatalyst.io/proposers/s.kuepers
Mesh JS SDK,meshsdk,15,13,12,1810573.0,2083363.0,78675.0,2442945.0,https://projectcatalyst.io/proposers/meshsdk
Ethan | Optim,pipaw,19,8,1,1794461.0,4898557.0,628430.0,2332000.0,https://projectcatalyst.io/proposers/pipaw
yutazzz,yutazzz,40,34,32,1770409.0,2594739.0,374331.0,2472286.8,https://projectcatalyst.io/proposers/yutazzz
Chris Joannou,chrisjoannou,1,1,1,1724556.0,1724556.0,0.0,1644000.0,https://projectcatalyst.io/proposers/chrisjoannou
Yaad Labs,yaadlabs,5,1,1,1724556.0,2186116.0,0.0,1644000.0,https://projectcatalyst.io/proposers/yaadlabs
Vladimir Sinyakov,vlasin,15,10,7,1688502.0,3201700.0,170078.0,2785000.0,https://projectcatalyst.io/proposers/vlasin
maksymilian brodowicz,zygomeb,11,7,1,1616131.0,3242655.0,596960.0,2162000.0,https://projectcatalyst.io/proposers/zygomeb
Atrium Lab Inc.,bigpey,27,15,14,1607172.0,3302239.0,50352.0,2586259.0,https://projectcatalyst.io/proposers/bigpey
Matteo Coppola,fluidtokens,14,10,2,1579130.0,3247054.0,647470.0,2609006.7,https://projectcatalyst.io/proposers/fluidtokens
Robert Hever,robertc3,16,10,10,1454352.0,4543444.0,0.0,1811845.0,https://projectcatalyst.io/proposers/robertc3
Raz,raz,110,32,29,1351101.0,6484998.0,51455.0,1429000.0,https://projectcatalyst.io/proposers/raz
YURI KURIYAMA,yuri,12,12,7,1278294.0,1757403.0,479109.0,2451008.8,https://projectcatalyst.io/proposers/yuri
damon,djzwar,15,9,9,1253172.0,4398720.0,0.0,1911845.0,https://projectcatalyst.io/proposers/djzwar
Indigo Labs,indigolabs,10,9,7,1237312.85,1563761.0,116648.15,1326000.0,https://projectcatalyst.io/proposers/indigolabs
Wolfram Blockchain Labs,wolfram.blockchain.labs,24,12,12,1228440.0,3288334.0,0.0,1470682.0,https://projectcatalyst.io/proposers/wolfram.blockchain.labs
SIDAN Lab,sidanlab,16,12,12,1152511.0,1834361.0,0.0,1894232.0,https://projectcatalyst.io/proposers/sidanlab
Wada,wada,126,44,44,1143225.0,7298292.0,6250.0,195000.0,https://projectcatalyst.io/proposers/wada
Piotr Godzinski,techstars,2,1,0,1131871.0,2064820.0,231829.0,1079000.0,https://projectcatalyst.io/proposers/techstars
Catalyst Rider,catalystrider,20,8,8,1126863.0,3241701.0,0.0,1801900.0,https://projectcatalyst.io/proposers/catalystrider
Socious Team,socious,6,6,5,1121332.0,1257584.0,136252.0,1353735.8,https://projectcatalyst.io/proposers/socious
Mr. Goose,mr.goose,9,7,6,1114216.0,1911738.0,63222.0,1766000.0,https://projectcatalyst.io/proposers/mr.goose
rand McHenry,randcorp,16,8,8,1073851.0,3376669.0,0.0,1895000.0,https://projectcatalyst.io/proposers/randcorp
Wes Parkinson,rareevo,16,8,8,1073851.0,3376669.0,0.0,1895000.0,https://projectcatalyst.io/proposers/rareevo
Kyle Solomon [FROG],adosiawolf,23,10,9,1066479.0,2012638.0,96504.0,14400.0,https://projectcatalyst.io/proposers/adosiawolf
$conrad,blade,8,6,5,1053426.0,1850948.0,63222.0,1666000.0,https://projectcatalyst.io/proposers/blade
BigIrishLion,bigirishlion,6,6,5,1053426.0,1116648.0,63222.0,1666000.0,https://projectcatalyst.io/proposers/bigirishlion
Papa Goose,papagoose,6,6,5,1053426.0,1116648.0,63222.0,1666000.0,https://projectcatalyst.io/proposers/papagoose
Felix Weber [SWARM],felixweber,83,27,26,1050830.0,10566166.0,23078.0,287810.0,https://projectcatalyst.io/proposers/felixweber
Xerberus,xersimp,6,5,1,1040383.0,1327128.0,237726.0,1635340.0,https://projectcatalyst.io/proposers/xersimp
Minswap Labs,minswapdex,11,8,5,1035613.0,1927168.0,212065.0,1890400.0,https://projectcatalyst.io/proposers/minswapdex
Seira Yun Socious.io,seirayun,16,12,12,1028677.0,1391538.0,0.0,1726209.0,https://projectcatalyst.io/proposers/seirayun
quinn,mqp,16,9,9,1026000.0,1136000.0,10000.0,0.0,https://projectcatalyst.io/proposers/mqp
Nils Helset,digifarm,9,6,5,1018255.0,2248723.0,817471.0,1133889.28,https://projectcatalyst.io/proposers/digifarm
Teo Petricevic,teopetricevic,8,5,4,994158.0,1532085.0,176232.0,1122400.0,https://projectcatalyst.io/proposers/teopetricevic
zenGate Global,zengate,7,6,4,991491.0,2288039.0,37748.0,2568000.0,https://projectcatalyst.io/proposers/zengate
Switzerland for UNHCR,switzerlandforunhcr,2,1,0,985011.0,1809525.0,300014.0,939000.0,https://projectcatalyst.io/proposers/switzerlandforunhcr
philipdisarro,philipdisarro,17,15,10,977553.0,1405043.0,256900.0,2753518.5,https://projectcatalyst.io/proposers/philipdisarro
Jonathan Rodriguez,jona.ca.eng,13,12,4,972706.0,1791870.0,609364.0,1867852.5,https://projectcatalyst.io/proposers/jona.ca.eng
Dan Gonzalez,sundae.dan,15,13,9,958140.0,1900073.0,312533.0,2778400.0,https://projectcatalyst.io/proposers/sundae.dan
quantumplation,quantumplation,15,13,9,958140.0,1900073.0,312533.0,2778400.0,https://projectcatalyst.io/proposers/quantumplation
projekt creative,projektcreative,16,9,9,938105.0,1405020.0,0.0,1915259.0,https://projectcatalyst.io/proposers/projektcreative
Jingles K,jingles,7,4,3,934239.0,1253047.0,78675.0,938200.0,https://projectcatalyst.io/proposers/jingles
andrewwestberg,andrewwestberg,19,10,9,920926.0,2380073.0,15154.0,285295.0,https://projectcatalyst.io/proposers/andrewwestberg
Michele Nuzzi,michele.nuzzi,18,9,4,902400.0,1966342.0,235783.0,1475000.0,https://projectcatalyst.io/proposers/michele.nuzzi
Raul,elraulito,18,8,4,896571.0,2356863.0,240671.0,1670306.7,https://projectcatalyst.io/proposers/elraulito
Sheldon Hunt,sheldon,3,1,0,893748.0,2125281.0,994452.0,852000.0,https://projectcatalyst.io/proposers/sheldon
Latheesan,latheesan87,11,7,5,890043.0,2058349.0,157841.0,367365.0,https://projectcatalyst.io/proposers/latheesan87
cole.vt,cole.vt,72,18,17,876690.0,2841852.0,1716.0,1228000.0,https://projectcatalyst.io/proposers/cole.vt
Tiziana Pittini,tpittini,23,12,8,867444.0,4244534.0,179787.0,923295.02,https://projectcatalyst.io/proposers/tpittini
Cody Butz,codyjbutz,8,7,6,862948.85,1122261.0,49512.15,990000.0,https://projectcatalyst.io/proposers/codyjbutz
Darlington Wleh,profd2004,35,21,19,862700.0,1670632.0,84647.0,1327666.0,https://projectcatalyst.io/proposers/profd2004
Alex Sierkov,nxr,2,2,2,855000.0,855000.0,0.0,0.0,https://projectcatalyst.io/proposers/nxr
Chris Gianelloni,wolf31o2,14,10,6,838950.0,1264502.0,239877.0,1184302.6,https://projectcatalyst.io/proposers/wolf31o2
Adam Dean,therealadamdean,20,9,5,830521.0,3142110.0,610682.0,599973.6,https://projectcatalyst.io/proposers/therealadamdean
