name,username,total_projects,funded_projects,completed_projects,total_distributed_usd,total_requested_usd,total_remaining_usd,distributed_ada_from_json,catalyst_url
dcSpark,dcspark,71,60,50,3250253.67,6216144.0,994132.33,2978725.0,https://projectcatalyst.io/proposers/dcspark
nicoarqueros,nicoarqueros,65,57,47,3058805.67,5055756.0,994132.33,2711701.0,https://projectcatalyst.io/proposers/nicoarqueros
Victor Corcino,victorcorcino,108,46,46,676886.42,6511388.0,28107.58,0.0,https://projectcatalyst.io/proposers/victorcorcino
MLabs,lpmaho,56,44,42,5000176.0,6584069.0,164289.0,8934942.0,https://projectcatalyst.io/proposers/lpmaho
Wada,wada,126,44,44,1143225.0,7298292.0,6250.0,195000.0,https://projectcatalyst.io/proposers/wada
Five Binaries,mmahut,53,37,37,535867.0,986699.0,5200.0,360000.0,https://projectcatalyst.io/proposers/mmahut
yutazzz,yutazzz,40,34,32,1770409.0,2594739.0,374331.0,2472286.8,https://projectcatalyst.io/proposers/yutazzz
Raz,raz,110,32,29,1351101.0,6484998.0,51455.0,1429000.0,https://projectcatalyst.io/proposers/raz
Yoram,yogo,75,32,31,701274.0,4888630.0,1431885.0,160000.0,https://projectcatalyst.io/proposers/yogo
Sebastien Guillemot,sebastiengllmt,35,31,21,2021622.0,3331500.0,913299.0,2978725.0,https://projectcatalyst.io/proposers/sebastiengllmt
Philip Khoo,fhilip.k,52,30,30,488991.11,2648353.0,7598.89,0.0,https://projectcatalyst.io/proposers/fhilip.k
Felix Weber [SWARM],felixweber,83,27,26,1050830.0,10566166.0,23078.0,287810.0,https://projectcatalyst.io/proposers/felixweber
Matthias Sieber,matthiasksieber,72,24,24,393142.42,4922999.0,21357.58,0.0,https://projectcatalyst.io/proposers/matthiasksieber
Santiago Carmuega,santi,30,24,21,2466018.0,3279470.0,92154.0,4322184.8,https://projectcatalyst.io/proposers/santi
Federico Weill,federicoweill,24,22,19,2345698.0,2752306.0,92154.0,4322184.8,https://projectcatalyst.io/proposers/federicoweill
heinz.gassner,heinz.gassner,68,22,22,418610.0,8426422.0,0.0,200000.0,https://projectcatalyst.io/proposers/heinz.gassner
Stephen Whitenstall,swhitenstall,48,22,22,294475.0,1937166.0,0.0,0.0,https://projectcatalyst.io/proposers/swhitenstall
