name,username,total_projects,funded_projects,completed_projects,total_distributed_usd,total_requested_usd,total_remaining_usd,distributed_ada_from_json,catalyst_url
Wada,wada,126,44,44,1143225.0,7298292.0,6250.0,195000.0,https://projectcatalyst.io/proposers/wada
Raz,raz,110,32,29,1351101.0,6484998.0,51455.0,1429000.0,https://projectcatalyst.io/proposers/raz
Victor Corcino,victorcorcino,108,46,46,676886.42,6511388.0,28107.58,0.0,https://projectcatalyst.io/proposers/victorcorcino
quasar ✨,quasar,97,7,7,51479.0,5367161.0,8900.0,0.0,https://projectcatalyst.io/proposers/quasar
Felix Weber [SWARM],felixweber,83,27,26,1050830.0,10566166.0,23078.0,287810.0,https://projectcatalyst.io/proposers/felixweber
Forgotten Member,,77,7,6,326860.0,6071372.0,62940.0,0.0,https://projectcatalyst.io/proposers/
Yoram,yogo,75,32,31,701274.0,4888630.0,1431885.0,160000.0,https://projectcatalyst.io/proposers/yogo
cole.vt,cole.vt,72,18,17,876690.0,2841852.0,1716.0,1228000.0,https://projectcatalyst.io/proposers/cole.vt
Matthias Sieber,matthiasksieber,72,24,24,393142.42,4922999.0,21357.58,0.0,https://projectcatalyst.io/proposers/matthiasksieber
dcSpark,dcspark,71,60,50,3250253.67,6216144.0,994132.33,2978725.0,https://projectcatalyst.io/proposers/dcspark
heinz.gassner,heinz.gassner,68,22,22,418610.0,8426422.0,0.0,200000.0,https://projectcatalyst.io/proposers/heinz.gassner
nicoarqueros,nicoarqueros,65,57,47,3058805.67,5055756.0,994132.33,2711701.0,https://projectcatalyst.io/proposers/nicoarqueros
Konma Org,konmaorg,60,3,2,146085.0,6052027.0,30395.0,150000.0,https://projectcatalyst.io/proposers/konmaorg
Nori Nishigaya,xeeban,59,16,16,341669.5,8278936.0,1662.5,100000.0,https://projectcatalyst.io/proposers/xeeban
Otavio (Cardano Feed),otaviolima,58,10,10,523264.0,3594630.0,0.0,691532.0,https://projectcatalyst.io/proposers/otaviolima
Sustainable ADA,sustainableada,57,8,6,810830.0,2708367.0,8289.0,1213000.0,https://projectcatalyst.io/proposers/sustainableada
MLabs,lpmaho,56,44,42,5000176.0,6584069.0,164289.0,8934942.0,https://projectcatalyst.io/proposers/lpmaho
nvhieu,nvhieu,55,15,15,452869.0,2174140.0,0.0,416950.0,https://projectcatalyst.io/proposers/nvhieu
Eli Selkin,eli.j.selkin,54,17,17,286142.42,2322415.0,21357.58,0.0,https://projectcatalyst.io/proposers/eli.j.selkin
Five Binaries,mmahut,53,37,37,535867.0,986699.0,5200.0,360000.0,https://projectcatalyst.io/proposers/mmahut
Megan Hess,megan.dit,53,13,13,610518.0,2626638.0,0.0,693400.0,https://projectcatalyst.io/proposers/megan.dit
Philip Khoo,fhilip.k,52,30,30,488991.11,2648353.0,7598.89,0.0,https://projectcatalyst.io/proposers/fhilip.k
Dimitri Fernando,dimitri777,50,3,3,13523.8,3802595.0,7776.2,0.0,https://projectcatalyst.io/proposers/dimitri777
Stephen Whitenstall,swhitenstall,48,22,22,294475.0,1937166.0,0.0,0.0,https://projectcatalyst.io/proposers/swhitenstall
tienna,tienna,45,14,14,367900.0,1602246.0,0.0,108931.0,https://projectcatalyst.io/proposers/tienna
oussama.benmahmoud,benmahmoudoussama,43,0,0,0.0,4387073.0,0.0,0.0,https://projectcatalyst.io/proposers/benmahmoudoussama
alexander.cimpeanu,alexander.cimpeanu,41,3,3,65500.0,2140318.0,0.0,0.0,https://projectcatalyst.io/proposers/alexander.cimpeanu
Catalyst Swarm,catalystswarm,41,16,16,394053.0,3412212.0,0.0,0.0,https://projectcatalyst.io/proposers/catalystswarm
jonas.weinberger,jonas.weinberger,41,8,8,203610.0,2598072.0,0.0,200000.0,https://projectcatalyst.io/proposers/jonas.weinberger
rodolfo.miranda,rodolfo.miranda,41,18,18,456583.0,3920390.0,0.0,286100.0,https://projectcatalyst.io/proposers/rodolfo.miranda
Tevo[SWARM],tevosaks,41,13,13,123080.0,1908332.78,0.0,0.0,https://projectcatalyst.io/proposers/tevosaks
yutazzz,yutazzz,40,34,32,1770409.0,2594739.0,374331.0,2472286.8,https://projectcatalyst.io/proposers/yutazzz
ditcameroon,ditcameroon,39,2,2,66000.0,1406563.0,0.0,0.0,https://projectcatalyst.io/proposers/ditcameroon
James Dunseith,workshopmaybe,39,14,13,759090.0,308697618.0,96508.0,702000.0,https://projectcatalyst.io/proposers/workshopmaybe
Andrii Voloshyn,cryptotexty,38,3,2,25517.0,4789554.02,9240.0,4799.2,https://projectcatalyst.io/proposers/cryptotexty
Josh F,joshf,38,13,13,377000.0,5225437.0,0.0,0.0,https://projectcatalyst.io/proposers/joshf
Guilherme Pereira da Silva,guilherme.pereira,36,4,4,119610.0,2474072.0,0.0,200000.0,https://projectcatalyst.io/proposers/guilherme.pereira
newmindflow,newmindflow,36,4,4,228324.0,9106734.0,0.0,199686.0,https://projectcatalyst.io/proposers/newmindflow
Alex Pestchanker,alexp7,35,16,16,436585.0,2466240.0,0.0,138232.0,https://projectcatalyst.io/proposers/alexp7
Darlington Wleh,profd2004,35,21,19,862700.0,1670632.0,84647.0,1327666.0,https://projectcatalyst.io/proposers/profd2004
Sebastien Guillemot,sebastiengllmt,35,31,21,2021622.0,3331500.0,913299.0,2978725.0,https://projectcatalyst.io/proposers/sebastiengllmt
fsamvura,fsamvura,34,12,12,183100.0,887739.0,0.0,0.0,https://projectcatalyst.io/proposers/fsamvura
Nebiyu,nebiyus,34,6,6,68420.0,1566988.0,0.0,0.0,https://projectcatalyst.io/proposers/nebiyus
Randall Harmon,randall,34,9,9,544517.13,2293555.0,2119.87,183000.0,https://projectcatalyst.io/proposers/randall
Seomon,seomon,34,11,11,493271.0,5722346.0,0.0,183000.0,https://projectcatalyst.io/proposers/seomon
Thorsten Pottebaum,adanamics,33,3,3,118610.0,2569208.0,0.0,200000.0,https://projectcatalyst.io/proposers/adanamics
Mercy !,mercya1,32,8,8,98295.0,3279084.28,9420.0,0.0,https://projectcatalyst.io/proposers/mercya1
Patrick Tobler,padierfind,32,12,8,3324689.0,8802500.0,1640929.0,4850000.0,https://projectcatalyst.io/proposers/padierfind
Rhys Morgan,rhysstoic,32,7,6,267599.0,1117634.0,8389.0,111200.0,https://projectcatalyst.io/proposers/rhysstoic
Eastern Townhall,easterntownhall,31,17,17,264359.0,1195676.0,0.0,61931.0,https://projectcatalyst.io/proposers/easterntownhall
