username,name,signals,total_projects,funded_projects,completed_projects,total_distributed_usd,distributed_ada_from_json,catalyst_url
adalink.io,AdaLink.io,completion_ratio_lt_0.5_funded_ge_5,13,5,2,200576.0,419000.0,https://projectcatalyst.io/proposers/adalink.io
alexv,Alex Vavourakis,completion_ratio_lt_0.5_funded_ge_5,10,5,2,132226.0,403295.01,https://projectcatalyst.io/proposers/alexv
anastasia.labs,Anastasia Labs,top_1pct_distributed_usd;completion_ratio_lt_0.5_funded_ge_5,14,13,6,1924515.0,3073880.28,https://projectcatalyst.io/proposers/anastasia.labs
c.tudorcotruta,c.tudorcotruta,completion_ratio_lt_0.5_funded_ge_5,8,5,2,435094.0,801400.0,https://projectcatalyst.io/proposers/c.tudorcotruta
catalystteam,Catalyst Team,top_1pct_distributed_usd,5,5,3,1982172.0,5866878.78,https://projectcatalyst.io/proposers/catalystteam
chrisjoannou,Chris Joannou,top_1pct_distributed_usd,1,1,1,1724556.0,1644000.0,https://projectcatalyst.io/proposers/chrisjoannou
cmkoch,christian,completion_ratio_lt_0.5_funded_ge_5,13,5,2,443644.0,865604.8,https://projectcatalyst.io/proposers/cmkoch
cole.vt,cole.vt,high_volume_proposer_ge_50_projects,72,18,17,876690.0,1228000.0,https://projectcatalyst.io/proposers/cole.vt
dcspark,dcSpark,top_1pct_distributed_usd;high_volume_proposer_ge_50_projects,71,60,50,3250253.67,2978725.0,https://projectcatalyst.io/proposers/dcspark
dimitri777,Dimitri Fernando,high_volume_proposer_ge_50_projects,50,3,3,13523.8,0.0,https://projectcatalyst.io/proposers/dimitri777
eli.j.selkin,Eli Selkin,high_volume_proposer_ge_50_projects,54,17,17,286142.42,0.0,https://projectcatalyst.io/proposers/eli.j.selkin
pipaw,Ethan | Optim,top_1pct_distributed_usd;completion_ratio_lt_0.5_funded_ge_5,19,8,1,1794461.0,2332000.0,https://projectcatalyst.io/proposers/pipaw
federicoweill,Federico Weill,top_1pct_distributed_usd,24,22,19,2345698.0,4322184.8,https://projectcatalyst.io/proposers/federicoweill
felixweber,Felix Weber [SWARM],high_volume_proposer_ge_50_projects,83,27,26,1050830.0,287810.0,https://projectcatalyst.io/proposers/felixweber
mmahut,Five Binaries,high_volume_proposer_ge_50_projects,53,37,37,535867.0,360000.0,https://projectcatalyst.io/proposers/mmahut
fpittini,Florian Pittini,completion_ratio_lt_0.5_funded_ge_5,14,6,2,387544.0,823295.02,https://projectcatalyst.io/proposers/fpittini
,Forgotten Member,high_volume_proposer_ge_50_projects,77,7,6,326860.0,0.0,https://projectcatalyst.io/proposers/
heinz.gassner,heinz.gassner,high_volume_proposer_ge_50_projects,68,22,22,418610.0,200000.0,https://projectcatalyst.io/proposers/heinz.gassner
iagon,Iagon Team,completion_ratio_lt_0.5_funded_ge_5,9,5,1,635244.0,669091.2,https://projectcatalyst.io/proposers/iagon
jona.ca.eng,Jonathan Rodriguez,completion_ratio_lt_0.5_funded_ge_5,13,12,4,972706.0,1867852.5,https://projectcatalyst.io/proposers/jona.ca.eng
konmaorg,Konma Org,high_volume_proposer_ge_50_projects,60,3,2,146085.0,150000.0,https://projectcatalyst.io/proposers/konmaorg
kristian.portz,kristian.portz,top_1pct_distributed_usd,3,2,2,1993100.0,1900000.0,https://projectcatalyst.io/proposers/kristian.portz
zygomeb,maksymilian brodowicz,completion_ratio_lt_0.5_funded_ge_5,11,7,1,1616131.0,2162000.0,https://projectcatalyst.io/proposers/zygomeb
fluidtokens,Matteo Coppola,completion_ratio_lt_0.5_funded_ge_5,14,10,2,1579130.0,2609006.7,https://projectcatalyst.io/proposers/fluidtokens
