fund_id,projects,proposers,completed_projects,completion_rate,distributed_ada,requested_ada,remaining_ada,distributed_usd,requested_usd,remaining_usd
1,56,28,0,0.0,5075039332.43,0.0,0.0,0.0,0.0,0.0
2,101,87,22,0.218,0.0,0.0,0.0,3553963.83,0.0,0.0
3,199,143,30,0.151,0.0,0.0,0.0,10211434.0,0.0,0.0
4,418,267,86,0.206,0.0,0.0,0.0,18377418.0,0.0,0.0
5,448,286,149,0.333,0.0,0.0,0.0,24314792.0,0.0,0.0
6,1228,602,331,0.27,0.0,0.0,0.0,84727753.0,0.0,0.0
7,1840,787,609,0.331,0.0,0.0,0.0,137888244.0,0.0,0.0
8,2491,930,874,0.351,0.0,0.0,0.0,276533699.0,0.0,0.0
9,2280,996,465,0.204,133765500.0,0.0,0.0,180323508.0,0.0,0.0
10,2911,1215,289,0.099,773272691.0,0.0,0.0,0.0,0.0,0.0
11,1695,898,455,0.268,360039313.0,0.0,0.0,0.0,0.0,0.0
12,2113,1034,296,0.14,435374252.0,0.0,0.0,0.0,0.0,0.0
13,2701,1221,171,0.063,556460781.0,0.0,0.0,0.0,0.0,0.0
14,1247,644,3,0.002,147348287.0,0.0,0.0,0.0,0.0,0.0
15,502,383,0,0.0,64134935.0,0.0,0.0,0.0,0.0,0.0
